"voterid","civicduty","hawthorne","self","neighbors","control"
"V093462",0,0,1,0,0
"V084590",0,0,0,1,0
"V040946",0,0,1,0,0
"V058824",1,0,0,0,0
"V121848",0,0,0,0,1
"V058953",0,0,0,1,0
"V005992",1,0,0,0,0
"V078033",0,1,0,0,0
"V122641",0,0,0,0,1
"V061388",0,0,0,0,1
"V131364",1,0,0,0,0
"V084037",0,0,1,0,0
"V134259",0,0,0,1,0
"V120502",1,0,0,0,0
"V076375",0,0,1,0,0
"V133634",0,0,0,1,0
"V010999",1,0,0,0,0
"V042291",0,1,0,0,0
"V048034",0,0,0,0,1
"V061179",0,1,0,0,0
"V021478",0,0,0,0,1
"V057764",0,0,0,1,0
"V092058",0,0,0,0,1
"V035922",1,0,0,0,0
"V017318",0,0,1,0,0
"V107805",0,1,0,0,0
"V021729",0,1,0,0,0
"V070214",0,0,0,0,1
"V032312",0,0,1,0,0
"V056045",0,1,0,0,0
"V031499",1,0,0,0,0
"V047033",0,0,0,1,0
"V063656",1,0,0,0,0
"V084699",0,0,0,1,0
"V069371",0,0,1,0,0
"V006173",0,0,0,0,1
"V119900",0,0,0,0,1
"V123788",0,0,0,1,0
"V043599",0,0,0,1,0
"V135054",0,0,0,0,1
"V013247",0,0,1,0,0
"V062115",0,1,0,0,0
"V125368",0,0,1,0,0
"V109231",1,0,0,0,0
"V128202",1,0,0,0,0
"V018199",0,1,0,0,0
"V027449",0,0,0,1,0
"V132231",0,0,1,0,0
"V122082",0,1,0,0,0
"V010019",0,1,0,0,0
"V106977",0,0,0,0,1
"V055167",0,0,0,0,1
"V127669",0,0,0,1,0
"V025868",0,0,0,1,0
"V008654",0,1,0,0,0
"V040139",1,0,0,0,0
"V007885",1,0,0,0,0
"V018597",1,0,0,0,0
"V138959",0,1,0,0,0
"V017503",1,0,0,0,0
"V066711",0,0,0,0,1
"V053063",0,1,0,0,0
"V080356",0,0,0,0,1
"V071075",1,0,0,0,0
"V011786",0,0,0,1,0
"V106021",0,0,0,0,1
"V026063",0,1,0,0,0
"V121159",0,0,0,1,0
"V137192",0,1,0,0,0
"V046065",0,0,1,0,0
"V097268",1,0,0,0,0
"V103197",1,0,0,0,0
"V057715",0,0,0,0,1
"V030144",0,0,1,0,0
"V038598",0,1,0,0,0
"V103052",1,0,0,0,0
"V060840",0,1,0,0,0
"V072408",0,1,0,0,0
"V106810",0,0,0,1,0
"V068389",1,0,0,0,0
"V042296",0,1,0,0,0
"V000505",0,1,0,0,0
"V111220",0,1,0,0,0
"V041006",0,0,0,1,0
"V122574",0,0,1,0,0
"V028769",0,0,0,0,1
"V048007",0,0,0,0,1
"V116428",0,0,1,0,0
"V081316",0,0,0,1,0
"V028117",0,0,0,1,0
"V125024",0,0,1,0,0
"V041734",0,0,1,0,0
"V083967",0,0,0,0,1
"V102889",0,0,0,0,1
"V113301",1,0,0,0,0
"V066725",0,0,0,1,0
"V031608",0,1,0,0,0
"V001436",0,0,0,0,1
"V025189",0,0,0,0,1
"V025015",0,0,1,0,0
"V016434",0,0,1,0,0
"V046267",0,0,0,0,1
"V000428",0,0,0,0,1
"V016352",0,1,0,0,0
"V073191",0,0,1,0,0
"V000624",0,0,1,0,0
"V106467",0,0,0,1,0
"V053543",0,1,0,0,0
"V089729",0,0,1,0,0
"V133724",1,0,0,0,0
"V082458",0,1,0,0,0
"V002068",0,0,0,1,0
"V067844",1,0,0,0,0
"V047054",0,1,0,0,0
"V073717",0,0,0,1,0
"V102793",1,0,0,0,0
"V014768",0,1,0,0,0
"V133857",0,0,0,1,0
"V036226",0,0,0,0,1
"V030613",1,0,0,0,0
"V058335",0,0,0,1,0
"V040238",0,0,0,1,0
"V072122",0,0,0,1,0
"V027369",0,0,0,0,1
"V031040",0,1,0,0,0
"V131393",0,0,1,0,0
"V037590",0,0,0,1,0
"V011117",0,0,0,0,1
"V049352",1,0,0,0,0
"V121223",1,0,0,0,0
"V036872",0,0,0,1,0
"V009067",1,0,0,0,0
"V026998",0,0,1,0,0
"V072493",0,0,0,1,0
"V046567",0,0,0,1,0
"V110747",0,0,0,0,1
"V023741",0,0,0,1,0
"V067854",0,0,0,0,1
"V080197",0,0,0,0,1
"V120837",0,1,0,0,0
"V046876",0,0,1,0,0
"V094527",0,0,0,0,1
"V065226",0,1,0,0,0
"V021975",0,0,0,0,1
"V026046",0,0,0,1,0
"V110519",0,0,0,1,0
"V053001",0,0,0,0,1
"V073199",0,0,1,0,0
"V001557",0,0,1,0,0
"V040780",0,0,0,0,1
"V080861",0,1,0,0,0
"V052803",0,0,0,1,0
"V023013",0,0,1,0,0
"V050899",1,0,0,0,0
"V123759",0,0,0,0,1
"V122819",0,1,0,0,0
"V115129",0,1,0,0,0
"V066958",0,0,0,1,0
"V118874",0,0,0,0,1
"V124893",0,0,0,1,0
"V021097",0,1,0,0,0
"V063571",1,0,0,0,0
"V035396",0,0,0,0,1
"V002981",0,0,0,1,0
"V043171",0,0,0,0,1
"V092888",0,0,0,1,0
"V031486",0,1,0,0,0
"V007873",0,0,0,1,0
"V126421",0,1,0,0,0
"V105441",0,1,0,0,0
"V072213",0,1,0,0,0
"V089496",0,0,1,0,0
"V022878",1,0,0,0,0
"V017000",1,0,0,0,0
"V127289",0,1,0,0,0
"V008767",0,0,0,1,0
"V096291",0,0,0,1,0
"V116884",0,0,0,1,0
"V002656",0,0,0,0,1
"V030810",0,0,1,0,0
"V126723",0,0,0,1,0
"V138536",0,0,1,0,0
"V138882",0,1,0,0,0
"V099023",0,0,0,0,1
"V033442",0,0,1,0,0
"V066734",0,0,1,0,0
"V136613",1,0,0,0,0
"V058860",0,0,0,0,1
"V009733",0,1,0,0,0
"V074209",1,0,0,0,0
"V136481",0,0,0,1,0
"V027944",0,0,1,0,0
"V105459",0,0,1,0,0
"V052238",0,1,0,0,0
"V028696",0,0,1,0,0
"V086629",0,1,0,0,0
"V137034",0,0,1,0,0
"V056424",1,0,0,0,0
"V092329",0,1,0,0,0
"V003368",0,1,0,0,0
"V062949",0,0,0,1,0
"V082669",0,0,1,0,0
"V033640",0,1,0,0,0
"V114265",0,0,0,0,1
"V053899",0,0,0,1,0
"V054442",0,0,1,0,0
"V019361",0,0,0,0,1
"V109141",0,1,0,0,0
"V068330",1,0,0,0,0
"V098155",0,0,0,1,0
"V130159",1,0,0,0,0
"V132361",0,0,1,0,0
"V107626",1,0,0,0,0
"V113396",0,0,0,0,1
"V001454",0,0,1,0,0
"V134763",0,0,1,0,0
"V009188",0,0,0,1,0
"V086533",0,0,0,1,0
"V061445",0,0,1,0,0
"V070904",0,0,0,0,1
"V052315",1,0,0,0,0
"V022359",0,1,0,0,0
"V130669",0,0,1,0,0
"V035921",0,1,0,0,0
"V139875",0,0,1,0,0
"V092063",0,1,0,0,0
"V068413",1,0,0,0,0
"V090104",0,0,0,1,0
"V035112",0,0,1,0,0
"V006846",0,0,1,0,0
"V014496",0,0,0,1,0
"V019920",0,0,0,1,0
"V068903",0,0,0,0,1
"V068255",0,0,0,1,0
"V054414",0,1,0,0,0
"V124818",0,1,0,0,0
"V007418",0,0,1,0,0
"V038636",1,0,0,0,0
"V052742",0,0,0,1,0
"V049544",0,0,0,1,0
"V070491",0,0,0,1,0
"V137880",0,1,0,0,0
"V051803",0,0,0,0,1
"V006583",0,1,0,0,0
"V089423",0,0,0,1,0
"V092962",0,0,0,0,1
"V132698",1,0,0,0,0
"V019551",0,0,0,1,0
"V052069",0,0,0,1,0
"V105709",0,0,1,0,0
"V105244",0,1,0,0,0
"V119740",0,0,0,0,1
"V064410",0,0,1,0,0
"V093618",0,0,1,0,0
"V040228",0,0,0,1,0
"V063999",0,0,1,0,0
"V122283",0,0,0,0,1
"V123381",0,0,0,0,1
"V043692",1,0,0,0,0
"V047413",1,0,0,0,0
"V046187",1,0,0,0,0
"V133722",1,0,0,0,0
"V124923",0,0,0,0,1
"V098195",0,0,1,0,0
"V063698",1,0,0,0,0
"V138801",0,0,0,1,0
"V032118",0,0,1,0,0
"V136699",0,0,0,1,0
"V095826",0,0,1,0,0
"V075696",0,0,0,0,1
"V068832",0,0,0,1,0
"V005953",0,1,0,0,0
"V109603",1,0,0,0,0
"V023357",1,0,0,0,0
"V088275",0,1,0,0,0
"V079367",0,0,0,0,1
"V016481",0,0,1,0,0
"V119576",0,1,0,0,0
"V006404",0,1,0,0,0
"V048845",0,0,0,1,0
"V038029",0,0,1,0,0
"V023039",0,1,0,0,0
"V039546",0,0,0,0,1
"V034966",1,0,0,0,0
"V038121",0,0,1,0,0
"V091126",0,0,0,1,0
"V075629",0,1,0,0,0
"V020028",1,0,0,0,0
"V013473",0,0,0,0,1
"V087329",0,0,0,0,1
"V106029",0,1,0,0,0
"V101085",1,0,0,0,0
"V046348",0,1,0,0,0
"V097505",0,1,0,0,0
"V128822",0,0,0,0,1
"V108436",0,0,0,1,0
"V055281",0,0,0,0,1
"V140277",1,0,0,0,0
"V041789",1,0,0,0,0
"V013259",0,0,0,1,0
"V102571",0,1,0,0,0
"V045231",0,1,0,0,0
"V130240",0,0,1,0,0
"V137403",0,0,0,0,1
"V067352",0,0,1,0,0
"V129169",0,1,0,0,0
"V045442",0,0,0,0,1
"V012001",0,0,0,1,0
"V117184",0,0,0,1,0
"V124855",0,1,0,0,0
"V016384",0,1,0,0,0
"V046023",0,0,0,1,0
"V078404",1,0,0,0,0
"V102734",1,0,0,0,0
"V048290",0,0,0,0,1
"V012647",0,0,1,0,0
"V069457",0,1,0,0,0
"V086686",0,1,0,0,0
"V075525",0,0,1,0,0
"V115953",1,0,0,0,0
"V030350",0,1,0,0,0
"V040396",0,0,0,1,0
"V054988",0,0,0,0,1
"V080893",0,1,0,0,0
"V120532",0,0,0,0,1
"V088330",0,0,0,1,0
"V080378",0,0,1,0,0
"V082316",0,0,0,0,1
"V117364",1,0,0,0,0
"V070955",1,0,0,0,0
"V053192",0,0,0,0,1
"V094242",1,0,0,0,0
"V077689",0,0,0,0,1
"V073608",1,0,0,0,0
"V100362",0,0,0,0,1
"V075058",0,0,0,1,0
"V067124",0,0,1,0,0
"V124724",1,0,0,0,0
"V053276",1,0,0,0,0
"V115957",0,0,0,0,1
"V027444",0,0,1,0,0
"V094751",0,0,0,0,1
"V101882",0,0,0,0,1
"V086537",1,0,0,0,0
"V138734",0,0,0,0,1
"V022778",0,0,1,0,0
"V132800",0,0,0,1,0
"V114258",0,0,1,0,0
"V036713",0,1,0,0,0
"V046075",1,0,0,0,0
"V024107",0,0,0,1,0
"V048014",0,1,0,0,0
"V047986",0,0,1,0,0
"V113525",0,0,1,0,0
"V005564",0,1,0,0,0
"V132061",1,0,0,0,0
"V001123",0,1,0,0,0
"V061917",0,0,0,1,0
"V121088",0,0,0,1,0
"V007910",0,0,1,0,0
"V111498",1,0,0,0,0
"V139414",0,1,0,0,0
"V104694",0,0,1,0,0
"V089354",0,0,0,0,1
"V118038",0,1,0,0,0
"V101456",0,0,0,1,0
"V038571",1,0,0,0,0
"V012638",1,0,0,0,0
"V028704",0,0,0,0,1
"V011565",0,0,1,0,0
"V106374",1,0,0,0,0
"V136703",0,0,1,0,0
"V105117",1,0,0,0,0
"V044230",0,0,0,1,0
"V087682",1,0,0,0,0
"V132150",0,0,1,0,0
"V138505",0,0,0,0,1
"V132233",0,0,0,0,1
"V072645",0,0,0,0,1
"V061277",1,0,0,0,0
"V010249",1,0,0,0,0
"V090241",1,0,0,0,0
"V046413",0,1,0,0,0
"V040131",0,0,1,0,0
"V037782",0,0,1,0,0
"V091631",0,1,0,0,0
"V056047",0,1,0,0,0
"V100737",0,0,0,0,1
"V018213",0,1,0,0,0
"V110491",0,0,0,0,1
"V053580",0,0,0,1,0
"V038988",1,0,0,0,0
"V025901",0,0,0,1,0
"V000953",0,1,0,0,0
"V116476",0,0,1,0,0
"V095723",0,0,0,0,1
"V029386",0,0,1,0,0
"V107171",1,0,0,0,0
"V046426",0,0,0,1,0
"V134622",0,0,1,0,0
"V060556",0,0,1,0,0
"V054660",0,0,0,1,0
"V110233",0,1,0,0,0
"V053206",1,0,0,0,0
"V061984",0,0,0,1,0
"V077605",0,0,0,0,1
"V011841",0,0,1,0,0
"V077749",1,0,0,0,0
"V058306",0,0,0,1,0
"V030533",0,0,0,1,0
"V030604",0,0,0,0,1
"V097743",0,0,0,0,1
"V047497",0,0,0,0,1
"V127836",0,0,0,0,1
"V099431",0,0,0,1,0
"V049922",1,0,0,0,0
"V091439",0,0,1,0,0
"V077373",1,0,0,0,0
"V134530",0,0,1,0,0
"V043902",1,0,0,0,0
"V074921",1,0,0,0,0
"V050990",0,1,0,0,0
"V091200",0,0,0,1,0
"V036501",0,0,0,0,1
"V140060",0,0,0,1,0
"V016918",0,1,0,0,0
"V120904",0,0,1,0,0
"V059053",1,0,0,0,0
"V112803",1,0,0,0,0
"V025455",0,0,0,1,0
"V077931",0,1,0,0,0
"V128025",1,0,0,0,0
"V060435",0,0,0,1,0
"V019367",0,0,0,0,1
"V081647",0,1,0,0,0
"V123306",0,0,0,1,0
"V073141",1,0,0,0,0
"V136615",0,0,1,0,0
"V024271",0,0,0,1,0
"V091054",0,0,0,1,0
"V086612",0,0,1,0,0
"V008515",0,0,0,0,1
"V130611",0,0,0,0,1
"V038358",0,0,0,1,0
"V104810",0,0,1,0,0
"V015133",0,0,0,0,1
"V138863",0,0,0,1,0
"V078982",1,0,0,0,0
"V091759",0,0,1,0,0
"V026977",0,0,0,0,1
"V066836",0,0,1,0,0
"V118899",0,0,0,0,1
"V058374",1,0,0,0,0
"V009964",0,0,0,1,0
"V093778",0,0,0,1,0
"V062990",0,0,1,0,0
"V122983",0,0,0,0,1
"V002562",0,1,0,0,0
"V062131",0,0,1,0,0
"V104503",1,0,0,0,0
"V074662",0,0,0,0,1
"V002453",0,0,0,1,0
"V102354",0,0,0,0,1
"V109773",0,1,0,0,0
"V124238",0,0,1,0,0
"V033951",0,0,0,0,1
"V017541",0,1,0,0,0
"V095571",0,0,0,1,0
"V139554",0,0,1,0,0
"V085921",0,1,0,0,0
"V048632",1,0,0,0,0
"V051635",0,0,0,0,1
"V036228",0,0,0,1,0
"V024925",0,0,1,0,0
"V093326",0,0,0,1,0
"V033426",0,0,0,1,0
"V120895",1,0,0,0,0
"V116874",0,0,0,0,1
"V082428",0,0,1,0,0
"V008297",1,0,0,0,0
"V004606",0,1,0,0,0
"V047354",1,0,0,0,0
"V096735",0,1,0,0,0
"V033247",0,0,0,0,1
"V048056",0,0,0,0,1
"V090951",0,0,1,0,0
"V038618",1,0,0,0,0
"V078162",0,1,0,0,0
"V000738",0,1,0,0,0
"V051126",0,1,0,0,0
"V015756",0,0,1,0,0
"V047042",0,0,0,1,0
"V112398",1,0,0,0,0
"V066197",0,0,1,0,0
"V062594",0,0,0,0,1
"V078700",0,1,0,0,0
"V121288",0,1,0,0,0
"V102011",1,0,0,0,0
"V074920",1,0,0,0,0
"V022018",0,1,0,0,0
"V124341",1,0,0,0,0
"V102581",0,0,1,0,0
"V124193",0,0,0,0,1
"V042995",0,0,1,0,0
"V049246",0,1,0,0,0
"V024868",1,0,0,0,0
"V122795",0,0,1,0,0
"V005485",0,0,0,0,1
"V085257",0,1,0,0,0
"V063050",0,1,0,0,0
"V018746",0,0,0,0,1
"V019310",0,0,0,0,1
"V112806",1,0,0,0,0
"V064155",0,1,0,0,0
"V046690",0,1,0,0,0
"V021590",1,0,0,0,0
"V015968",0,0,1,0,0
"V096382",1,0,0,0,0
"V136534",0,1,0,0,0
"V112066",0,1,0,0,0
"V087327",0,1,0,0,0
"V069458",0,0,0,0,1
"V031413",0,1,0,0,0
"V035826",1,0,0,0,0
"V047236",0,1,0,0,0
"V119847",0,1,0,0,0
"V125710",0,0,0,0,1
"V019985",0,0,0,0,1
"V046997",0,0,0,0,1
"V087159",0,0,0,0,1
"V119034",0,0,1,0,0
"V049817",0,0,1,0,0
"V118419",0,0,0,0,1
"V080270",0,0,0,1,0
"V074844",0,1,0,0,0
"V033200",1,0,0,0,0
"V060004",0,0,1,0,0
"V009233",1,0,0,0,0
"V097524",1,0,0,0,0
"V077642",1,0,0,0,0
"V072389",1,0,0,0,0
"V098345",1,0,0,0,0
"V121552",0,0,0,1,0
"V101038",0,0,0,0,1
"V038574",0,1,0,0,0
"V053452",0,0,0,0,1
"V099209",0,0,0,0,1
"V140180",0,1,0,0,0
"V058520",1,0,0,0,0
"V123949",0,0,0,1,0
"V028537",1,0,0,0,0
"V009078",0,1,0,0,0
"V053010",0,1,0,0,0
"V065044",0,1,0,0,0
"V011242",0,0,0,1,0
"V125937",0,0,0,1,0
"V034850",1,0,0,0,0
"V131787",0,0,0,0,1
"V044250",0,0,0,0,1
"V002345",0,1,0,0,0
"V054752",0,0,1,0,0
"V110924",0,1,0,0,0
"V064452",1,0,0,0,0
"V000748",1,0,0,0,0
"V000240",0,1,0,0,0
"V137955",0,0,0,0,1
"V102224",0,0,0,1,0
"V012116",0,1,0,0,0
"V103875",1,0,0,0,0
"V071095",0,0,0,0,1
"V031412",0,0,0,0,1
"V058750",0,1,0,0,0
"V086540",0,0,1,0,0
"V075369",0,1,0,0,0
"V015880",1,0,0,0,0
"V094987",0,0,0,1,0
"V112753",0,0,0,1,0
"V082968",0,0,0,1,0
"V131656",1,0,0,0,0
"V003968",0,0,0,1,0
"V097583",1,0,0,0,0
"V020944",1,0,0,0,0
"V082237",0,0,1,0,0
"V113587",0,1,0,0,0
"V000492",1,0,0,0,0
"V120504",0,0,0,0,1
"V087645",0,0,0,0,1
"V076884",0,0,1,0,0
"V051239",0,1,0,0,0
"V061858",0,0,0,0,1
"V071390",1,0,0,0,0
"V127699",0,1,0,0,0
"V016217",0,1,0,0,0
"V108136",0,0,0,0,1
"V101058",0,1,0,0,0
"V017777",0,0,0,0,1
"V042984",0,0,1,0,0
"V011692",0,0,1,0,0
"V051306",0,0,0,1,0
"V025716",0,0,1,0,0
"V051997",0,0,1,0,0
"V118426",0,0,0,1,0
"V006462",1,0,0,0,0
"V057202",0,1,0,0,0
"V013871",0,0,0,0,1
"V085858",0,0,1,0,0
"V087827",0,0,0,1,0
"V051882",0,1,0,0,0
"V050946",0,0,0,0,1
"V116675",0,0,1,0,0
"V096325",1,0,0,0,0
"V093890",0,0,0,1,0
"V133630",1,0,0,0,0
"V007468",0,1,0,0,0
"V069714",0,0,1,0,0
"V000927",0,0,0,1,0
"V018103",0,0,1,0,0
"V013764",0,0,0,1,0
"V098233",0,0,0,0,1
"V076326",1,0,0,0,0
"V095874",1,0,0,0,0
"V022550",1,0,0,0,0
"V028143",0,0,0,1,0
"V113313",1,0,0,0,0
"V007306",0,1,0,0,0
"V088927",1,0,0,0,0
"V126445",0,0,0,1,0
"V093929",0,0,0,0,1
"V021453",0,0,0,1,0
"V050669",0,1,0,0,0
"V021470",0,0,0,0,1
"V132839",0,0,0,1,0
"V061424",0,0,0,0,1
"V042049",0,0,0,1,0
"V012189",0,0,1,0,0
"V109505",1,0,0,0,0
"V092289",0,0,1,0,0
"V044749",0,0,0,0,1
"V086232",1,0,0,0,0
"V039106",0,0,0,0,1
"V128752",0,0,0,0,1
"V041364",0,0,0,1,0
"V068469",0,0,0,1,0
"V063113",0,0,1,0,0
"V037662",0,0,1,0,0
"V131699",0,1,0,0,0
"V001508",0,0,0,1,0
"V017401",0,0,1,0,0
"V094546",0,1,0,0,0
"V049930",0,0,0,0,1
"V046795",0,0,0,0,1
"V104037",0,0,0,1,0
"V065633",0,0,1,0,0
"V013151",1,0,0,0,0
"V099325",0,0,0,1,0
"V114488",0,0,0,0,1
"V139882",0,0,0,0,1
"V045641",0,0,1,0,0
"V118020",0,0,0,1,0
"V013447",0,0,0,1,0
"V081279",0,0,0,1,0
"V054748",0,0,0,1,0
"V111494",1,0,0,0,0
"V075616",0,0,1,0,0
"V015362",0,0,0,1,0
"V089730",0,0,1,0,0
"V024079",1,0,0,0,0
"V107589",0,0,0,0,1
"V097471",1,0,0,0,0
"V122021",0,0,0,0,1
"V088325",0,0,0,1,0
"V133859",0,0,0,1,0
"V133765",0,0,0,1,0
"V000752",0,0,0,1,0
"V051814",0,1,0,0,0
"V028239",0,1,0,0,0
"V064286",1,0,0,0,0
"V091808",0,0,0,0,1
"V015981",0,0,0,0,1
"V026202",0,1,0,0,0
"V065556",0,0,1,0,0
"V114675",0,1,0,0,0
"V115186",0,0,0,0,1
"V070576",0,0,0,0,1
"V038744",1,0,0,0,0
"V010927",0,0,0,0,1
"V062763",0,0,1,0,0
"V114528",0,0,0,0,1
"V008737",0,0,0,0,1
"V000829",0,0,1,0,0
"V131554",0,0,0,0,1
"V093954",0,0,1,0,0
"V015567",0,0,0,0,1
"V135730",0,0,0,1,0
"V116934",0,0,0,1,0
"V073302",0,1,0,0,0
"V130482",1,0,0,0,0
"V133210",0,0,0,0,1
"V107332",0,0,1,0,0
"V101019",0,0,0,0,1
"V077368",0,0,0,0,1
"V041473",1,0,0,0,0
"V039090",0,0,0,0,1
"V083703",1,0,0,0,0
"V071020",0,0,0,1,0
"V137561",1,0,0,0,0
"V037140",0,0,1,0,0
"V052391",0,0,1,0,0
"V008075",0,0,0,1,0
"V057470",1,0,0,0,0
"V000317",0,1,0,0,0
"V118264",1,0,0,0,0
"V107099",0,0,0,0,1
"V114862",0,0,0,0,1
"V059646",0,0,0,1,0
"V066412",0,0,0,0,1
"V062859",0,0,1,0,0
"V122505",0,0,1,0,0
"V014365",0,1,0,0,0
"V118284",0,0,0,0,1
"V137265",0,0,0,0,1
"V013755",0,0,1,0,0
"V029920",0,0,0,1,0
"V017919",0,0,0,0,1
"V056761",1,0,0,0,0
"V018232",0,0,0,1,0
"V094900",1,0,0,0,0
"V096921",0,1,0,0,0
"V054018",0,1,0,0,0
"V049658",0,0,0,0,1
"V073124",0,1,0,0,0
"V099537",1,0,0,0,0
"V118334",0,0,1,0,0
"V086152",1,0,0,0,0
"V046005",0,0,0,0,1
"V012167",0,0,1,0,0
"V093592",1,0,0,0,0
"V060437",1,0,0,0,0
"V075046",0,0,1,0,0
"V016152",0,1,0,0,0
"V009235",0,0,0,1,0
"V021103",1,0,0,0,0
"V032441",0,0,1,0,0
"V119302",0,0,0,1,0
"V096317",0,0,1,0,0
"V023372",1,0,0,0,0
"V032533",0,1,0,0,0
"V034484",0,0,0,0,1
"V124934",0,0,0,1,0
"V042483",0,1,0,0,0
"V106323",0,0,0,1,0
"V008856",1,0,0,0,0
"V050801",1,0,0,0,0
"V018718",0,0,0,1,0
"V135909",0,0,0,0,1
"V113701",0,0,0,0,1
"V074850",1,0,0,0,0
"V082038",0,0,0,0,1
"V064631",0,0,1,0,0
"V030123",1,0,0,0,0
"V013033",0,0,0,1,0
"V087324",0,1,0,0,0
"V136017",0,0,1,0,0
"V044251",1,0,0,0,0
"V070307",1,0,0,0,0
"V016125",1,0,0,0,0
"V004435",0,0,0,0,1
"V099636",0,0,0,1,0
"V125493",0,0,1,0,0
"V004468",0,1,0,0,0
"V046343",1,0,0,0,0
"V097307",0,0,1,0,0
"V125885",0,0,0,1,0
"V052405",0,0,0,0,1
"V008883",0,0,0,0,1
"V023212",0,0,0,0,1
"V083537",0,0,1,0,0
"V037245",1,0,0,0,0
"V073989",0,0,0,1,0
"V090746",0,1,0,0,0
"V004317",0,0,1,0,0
"V028072",0,0,0,0,1
"V077827",0,0,0,0,1
"V048446",0,1,0,0,0
"V082149",1,0,0,0,0
"V001728",0,0,0,1,0
"V035257",0,0,0,1,0
"V056450",1,0,0,0,0
"V052017",0,0,0,0,1
"V072655",0,0,0,0,1
"V115895",1,0,0,0,0
"V064084",1,0,0,0,0
"V023283",0,0,0,0,1
"V121923",0,0,0,1,0
"V049303",0,0,0,0,1
"V021479",0,0,1,0,0
"V009069",0,1,0,0,0
"V017819",1,0,0,0,0
"V081680",0,1,0,0,0
"V113598",0,0,0,1,0
"V134042",0,0,0,1,0
"V033575",0,0,0,0,1
"V091425",0,0,0,1,0
"V128767",0,0,0,0,1
"V120345",0,0,0,1,0
"V105724",1,0,0,0,0
"V049742",0,0,0,1,0
"V064481",0,0,0,1,0
"V126080",0,0,1,0,0
"V098490",1,0,0,0,0
"V008577",0,0,1,0,0
"V099631",1,0,0,0,0
"V074887",1,0,0,0,0
"V126933",0,1,0,0,0
"V072190",0,1,0,0,0
"V057630",0,0,0,0,1
"V087821",1,0,0,0,0
"V018554",0,0,0,1,0
"V005088",1,0,0,0,0
"V000336",0,0,1,0,0
"V019241",0,0,1,0,0
"V033821",0,1,0,0,0
"V130212",1,0,0,0,0
"V082846",0,0,1,0,0
"V086292",1,0,0,0,0
"V121822",0,0,0,0,1
"V139371",0,0,0,1,0
"V000420",1,0,0,0,0
"V033678",0,0,0,0,1
"V067533",0,0,1,0,0
"V018418",0,0,1,0,0
"V069712",0,0,0,0,1
"V083047",0,1,0,0,0
"V033095",0,0,0,1,0
"V065881",0,0,0,1,0
"V023945",1,0,0,0,0
"V033047",1,0,0,0,0
"V114492",0,0,0,1,0
"V060085",0,0,0,0,1
"V015842",0,1,0,0,0
"V004106",0,0,0,1,0
"V086506",0,0,1,0,0
"V110210",0,1,0,0,0
"V058433",0,1,0,0,0
"V013189",0,1,0,0,0
"V129009",0,0,0,0,1
"V048146",1,0,0,0,0
"V063467",1,0,0,0,0
"V010049",0,0,1,0,0
"V040950",0,0,1,0,0
"V004455",0,1,0,0,0
"V010308",1,0,0,0,0
"V074554",0,0,0,1,0
"V084007",0,0,0,1,0
"V019911",0,0,1,0,0
"V075396",0,0,0,0,1
"V002405",0,1,0,0,0
"V128978",1,0,0,0,0
"V014348",0,1,0,0,0
"V058116",1,0,0,0,0
"V122881",0,0,0,1,0
"V065463",0,0,0,1,0
"V033534",0,0,0,1,0
"V041586",0,1,0,0,0
"V012951",0,0,0,1,0
"V040496",0,1,0,0,0
"V101783",0,1,0,0,0
"V093279",0,0,0,1,0
"V032919",0,1,0,0,0
"V059668",0,1,0,0,0
"V095868",1,0,0,0,0
"V034548",0,0,0,1,0
"V025053",0,0,1,0,0
"V053174",0,0,1,0,0
"V021538",0,0,1,0,0
"V109343",0,0,0,0,1
"V053593",1,0,0,0,0
"V025169",1,0,0,0,0
"V090077",0,0,0,0,1
"V102816",0,1,0,0,0
"V112529",0,0,0,0,1
"V040664",0,1,0,0,0
"V108062",0,1,0,0,0
"V119228",0,0,0,1,0
"V018918",0,0,0,0,1
"V030037",0,0,0,0,1
"V012753",0,0,1,0,0
"V077422",0,1,0,0,0
"V057252",0,0,0,0,1
"V005157",0,0,0,0,1
"V084485",0,0,1,0,0
"V105889",0,0,0,0,1
"V020807",1,0,0,0,0
"V103342",0,1,0,0,0
"V090291",0,1,0,0,0
"V082542",0,1,0,0,0
"V078525",1,0,0,0,0
"V105943",0,0,1,0,0
"V059051",0,0,1,0,0
"V127939",1,0,0,0,0
"V036281",1,0,0,0,0
"V029195",0,0,0,0,1
"V022165",0,0,0,0,1
"V034281",0,1,0,0,0
"V051660",1,0,0,0,0
"V101851",0,0,1,0,0
"V126186",0,0,1,0,0
"V020275",0,0,0,0,1
"V051940",1,0,0,0,0
"V135029",0,0,0,1,0
"V053303",1,0,0,0,0
"V089409",1,0,0,0,0
"V069095",1,0,0,0,0
"V015504",0,0,1,0,0
"V016794",0,0,0,0,1
"V049992",0,0,0,1,0
"V085258",0,0,1,0,0
"V079448",1,0,0,0,0
"V045756",0,0,1,0,0
"V064831",0,0,1,0,0
"V037396",0,0,0,0,1
"V108191",0,0,0,0,1
"V134897",0,0,1,0,0
"V130962",0,0,0,1,0
"V019120",0,0,0,0,1
"V100550",1,0,0,0,0
"V012049",0,0,0,1,0
"V065458",0,0,1,0,0
"V066746",0,0,1,0,0
"V124638",1,0,0,0,0
"V067945",1,0,0,0,0
